phecode	phecode_string	category
ID_001	Salmonella	Infections
ID_002	Staphylococcus	Infections
ID_002.1	Staphylococcus aureus	Infections
ID_003	Escherichia coli	Infections
ID_004	Streptococcus	Infections
ID_004.1	Streptococcus pneumoniae	Infections
ID_004.2	Group A Streptococcus	Infections
ID_004.3	Group B Streptococcus	Infections
ID_004.4	Scarlet fever	Infections
ID_005	Mycobacteria	Infections
ID_005.1	Mycobacterium tuberculosis	Infections
ID_005.2	Disseminated mycobacterium avium-intracellulare complex (DMAC)*	Infections
ID_005.3	Mycobacterium leprae [Leprosy]	Infections
ID_006	Neisseria	Infections
ID_006.1	Neisseria meningitidis	Infections
ID_006.2	Neisseria gonorrhea	Infections
ID_007	Hemophilus infection	Infections
ID_007.1	Hemophilus influenzae	Infections
ID_007.2	Haemophilus ducreyi	Infections
ID_008	Helicobacter [H. pylori]	Infections
ID_009	Pseudomonas	Infections
ID_010	Corynebacterium	Infections
ID_010.1	Corynebacterium diphtheriae	Infections
ID_011	Klebsiella	Infections
ID_012	Proteus	Infections
ID_013	Mycoplasma	Infections
ID_014	Bacteroides fragilis	Infections
ID_015	Clostridium	Infections
ID_015.1	Clostridium perfringens	Infections
ID_015.2	Clostridium difficile	Infections
ID_015.3	Clostridium botulinum	Infections
ID_016	Chlamydia	Infections
ID_016.1	Chlamydia trachomatis	Infections
ID_016.2	Chlamydia psittaci	Infections
ID_017	Bartonellosis	Infections
ID_018	Serratia	Infections
ID_019	Treponema	Infections
ID_019.1	Treponema pallidum [syphilis]	Infections
ID_019.2	Treponema carateum	Infections
ID_020	Borrelia	Infections
ID_020.1	Lyme disease	Infections
ID_021	Rickettsia	Infections
ID_021.2	Spotted fever	Infections
ID_022	Ehrlichiosis	Infections
ID_023	Vibrio	Infections
ID_024	Pertussis	Infections
ID_025	Enterococcus	Infections
ID_026	Actinomyces and Nocardia	Infections
ID_027	Shigella	Infections
ID_028	Bacillus	Infections
ID_029	Leptospira	Infections
ID_030	Campylobacter	Infections
ID_031	Listeria	Infections
ID_032	Yersinia	Infections
ID_033	Francisella	Infections
ID_034	Brucella	Infections
ID_035	Burkholderia	Infections
ID_036	Spirillum	Infections
ID_037	Streptobacillus	Infections
ID_038	Erysipelothrix	Infections
ID_039	Pasteurella	Infections
ID_040	Legionella	Infections
ID_041	Coxiella	Infections
ID_042	Tropheryma	Infections
ID_050	Enterovirus	Infections
ID_050.1	Poliovirus	Infections
ID_050.2	Coxsackie virus	Infections
ID_050.3	ECHO virus	Infections
ID_050.4	"Hand, foot, and mouth disease"	Infections
ID_050.5	Enteroviral vesicular pharyngitis	Infections
ID_050.6	Rhinovirus	Infections
