species,assembly_type,software,field,operator,value,special_field
Acinetobacter baumannii,all,Checkm,Completeness,>=,97,
Acinetobacter baumannii,all,Checkm,Contamination,<=,7,
Acinetobacter baumannii,all,Checkm,GC,<=,40,
Acinetobacter baumannii,all,Checkm,GC,>=,38,
Acinetobacter baumannii,all,Checkm,Genome size (bp),<=,4600000,
Acinetobacter baumannii,all,Checkm,Genome size (bp),>=,3600000,
Acinetobacter baumannii,all,Checkm,Marker lineage,regex,^Acinetobacter baumannii,species_field
Acinetobacter baumannii,all,Quast,GC (%),<=,40,
Acinetobacter baumannii,all,Quast,GC (%),>=,38,
Acinetobacter baumannii,all,Quast,Ns per 100 kbp,<=,1000,
Acinetobacter baumannii,all,Quast,Total length (>= 0 bp),<=,4600000,
Acinetobacter baumannii,all,Quast,Total length (>= 0 bp),>=,3600000,
Acinetobacter baumannii,all,Speciator,confidence,regex,^good$,
Acinetobacter baumannii,all,Speciator,genusName,regex,^Acinetobacter,
Acinetobacter baumannii,all,Speciator,speciesName,regex,^Acinetobacter baumannii,species_field
Acinetobacter baumannii,all,Sylph,number_of_genomes,=,1,
Acinetobacter baumannii,all,Sylph,species_name,regex,^Acinetobacter baumannii,species_field
Acinetobacter baumannii,short,Ariba,percent,=,100,
Acinetobacter baumannii,short,Checkm,# contigs,<=,490,
Acinetobacter baumannii,short,Checkm,N50 (scaffolds),>=,17000,
Acinetobacter baumannii,short,Quast,# contigs (>= 0 bp),<=,490,
Acinetobacter baumannii,short,Quast,N50,>=,17000,
Bacillus anthracis,all,Checkm,Completeness,>=,95,
Bacillus anthracis,all,Checkm,Contamination,<=,4,
Bacillus anthracis,all,Checkm,GC,<=,36,
Bacillus anthracis,all,Checkm,GC,>=,35,
Bacillus anthracis,all,Checkm,Genome size (bp),<=,5900000,
Bacillus anthracis,all,Checkm,Genome size (bp),>=,5100000,
Bacillus anthracis,all,Checkm,Marker lineage,regex,^Bacillus anthracis,species_field
Bacillus anthracis,all,Quast,GC (%),<=,36,
Bacillus anthracis,all,Quast,GC (%),>=,35,
Bacillus anthracis,all,Quast,Ns per 100 kbp,<=,1000,
Bacillus anthracis,all,Quast,Total length (>= 0 bp),<=,5900000,
Bacillus anthracis,all,Quast,Total length (>= 0 bp),>=,5100000,
Bacillus anthracis,all,Speciator,confidence,regex,^good$,
Bacillus anthracis,all,Speciator,genusName,regex,^Bacillus,
Bacillus anthracis,all,Speciator,speciesName,regex,^Bacillus anthracis,species_field
Bacillus anthracis,all,Sylph,number_of_genomes,=,1,
Bacillus anthracis,all,Sylph,species_name,regex,^Bacillus anthracis,species_field
Bacillus anthracis,short,Ariba,percent,=,100,
Bacillus anthracis,short,Checkm,# contigs,<=,750,
Bacillus anthracis,short,Checkm,N50 (scaffolds),>=,14000,
Bacillus anthracis,short,Quast,# contigs (>= 0 bp),<=,750,
Bacillus anthracis,short,Quast,N50,>=,14000,
Bacillus subtilis,all,Checkm,Completeness,>=,91,
Bacillus subtilis,all,Checkm,Contamination,<=,12,
Bacillus subtilis,all,Checkm,GC,<=,45,
Bacillus subtilis,all,Checkm,GC,>=,42,
Bacillus subtilis,all,Checkm,Genome size (bp),<=,4600000,
Bacillus subtilis,all,Checkm,Genome size (bp),>=,3600000,
Bacillus subtilis,all,Checkm,Marker lineage,regex,^Bacillus subtilis,species_field
Bacillus subtilis,all,Quast,GC (%),<=,45,
