"IIP01","IIP02","IIP03","IIP04","IIP05","IIP06","IIP07","IIP08","IIP09","IIP10","IIP11","IIP12","IIP13","IIP14","IIP15","IIP16","IIP17","IIP18","IIP19","IIP20","IIP21","IIP22","IIP23","IIP24","IIP25","IIP26","IIP27","IIP28","IIP29","IIP30","IIP31","IIP32"
0,0,0,0,1,0,1,0,2,1,0,0,0,1,4,3,2,4,2,0,1,0,0,0,3,3,3,0,0,0,1,0
1,1,0,0,3,2,2,1,0,1,0,1,4,3,3,1,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,2
1,0,1,0,1,1,1,3,0,1,0,0,2,3,3,2,2,1,1,0,3,2,3,1,1,1,1,0,3,2,3,2
3,2,3,NA,2,3,2,3,2,3,2,4,2,1,2,3,1,2,2,1,3,2,3,2,1,2,3,2,3,2,3,2
0,0,0,1,0,0,1,1,0,1,0,2,1,1,3,1,0,1,0,1,1,0,1,1,2,1,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
1,0,0,0,2,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0
1,0,1,0,1,1,2,1,1,0,0,0,1,NA,2,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,2,1
0,0,2,2,0,1,3,0,1,0,1,1,0,2,2,2,1,2,2,0,0,0,3,0,1,0,1,0,0,1,3,0
0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
