Age,Men,Women
63,20,20
64,19.3,20
65,18.5,20
66,17.8,20
67,17,20
68,16.2,20
69,15.5,19
70,14.7,18.2
71,14,17.3
72,13.4,16.5
73,12.7,15.7
74,12.1,14.9
75,11.4,14.1
76,10.8,13.3
77,10.1,12.5
78,9.5,11.7
79,8.8,10.9
80,8.3,10.1
81,7.7,9.5
82,7.3,9
83,6.9,8.4
84,6.4,7.8
85,6,7.3
86,5.5,6.7
87,5.1,6.2
88,4.7,5.6
