phecode	phenotype	category
008	Intestinal infection	infectious diseases
008.5	Bacterial enteritis	infectious diseases
008.51	Intestinal e.coli	infectious diseases
008.52	Intestinal infection due to C. difficile	infectious diseases
008.6	Viral Enteritis	infectious diseases
008.7	Intestinal infection due to protozoa	infectious diseases
010	Tuberculosis	infectious diseases
031	Diseases due to other mycobacteria	infectious diseases
031.1	Leprosy	infectious diseases
038	Septicemia	infectious diseases
038.1	Gram negative septicemia	infectious diseases
038.2	Gram positive septicemia	infectious diseases
038.3	Bacteremia	infectious diseases
041	Bacterial infection NOS	infectious diseases
041.1	Staphylococcus infections	infectious diseases
041.11	Methicillin sensitive Staphylococcus aureus	infectious diseases
041.12	Methicillin resistant Staphylococcus aureus	infectious diseases
041.2	Streptococcus infection	infectious diseases
041.21	Rheumatic fever / chorea	infectious diseases
041.4	E. coli	infectious diseases
041.8	H. pylori	infectious diseases
041.9	Infection with drug-resistant microorganisms	infectious diseases
053	Herpes zoster	infectious diseases
053.1	Herpes zoster with nervous system complications	infectious diseases
054	Herpes simplex	infectious diseases
070	Viral hepatitis	infectious diseases
070.1	Viral hepatitis A	infectious diseases
070.2	Viral hepatitis B	infectious diseases
070.3	Viral hepatitis C	infectious diseases
070.4	Chronic hepatitis	infectious diseases
070.9	Hepatitis NOS	infectious diseases
071	Human immunodeficiency virus [HIV] disease	infectious diseases
071.1	"HIV infection, symptomatic"	infectious diseases
078	Viral warts & HPV	infectious diseases
079	Viral infection	infectious diseases
079.1	Varicella infection	infectious diseases
079.2	Infectious mononucleosis	infectious diseases
079.9	"Viremia, NOS"	infectious diseases
080	Postoperative infection	infectious diseases
081	Infection/inflammation of internal prosthetic device; implant; and graft	infectious diseases
081.1	Graft-versus-host disease	infectious diseases
081.11	Acute graft-versus-host disease	infectious diseases
081.12	Chronic graft-versus-host disease	infectious diseases
090	Sexually transmitted infections (not HIV or hepatitis)	infectious diseases
090.2	Gonococcal infections	infectious diseases
090.3	Venereal diseases due to Chlamydia trachomatis	infectious diseases
1000	Burns	NULL
