Experiment ID	Experiment
Animal ID	Animal
Researcher	Test
Directory path	


Number	Start Time	End Time	Time From Start	Channel	Annotation
0	02/09/22 09:17:38.948	02/09/22 09:17:38.948	0.0000	ALL	Started Recording
1	02/09/22 09:37:00.000	02/09/22 09:37:00.000	1161.0520	ALL	start
2	02/09/22 09:37:00.000	02/09/22 09:37:08.784	1161.0520	ALL	exploring
3	02/09/22 09:37:08.784	02/09/22 09:37:13.897	1169.8360	ALL	grooming
4	02/09/22 09:37:13.897	02/09/22 09:38:01.262	1174.9490	ALL	exploring
5	02/09/22 09:38:01.262	02/09/22 09:38:07.909	1222.3140	ALL	grooming
6	02/09/22 09:38:07.909	02/09/22 09:38:20.258	1228.9610	ALL	exploring
7	02/09/22 09:38:20.258	02/09/22 09:38:25.435	1241.3100	ALL	grooming
8	02/09/22 09:38:25.435	02/09/22 09:40:07.055	1246.4870	ALL	exploring
9	02/09/22 09:40:07.055	02/09/22 09:40:22.334	1348.1070	ALL	grooming
10	02/09/22 09:40:22.334	02/09/22 09:41:36.664	1363.3860	ALL	exploring
11	02/09/22 09:41:36.664	02/09/22 09:41:46.326	1437.7160	ALL	grooming
12	02/09/22 09:41:46.326	02/09/22 09:44:16.857	1447.3780	ALL	exploring
13	02/09/22 09:44:16.857	02/09/22 09:44:58.225	1597.9090	ALL	grooming
14	02/09/22 09:44:58.225	02/09/22 09:45:35.800	1639.2770	ALL	exploring
15	02/09/22 09:45:35.800	02/09/22 09:45:40.506	1676.8520	ALL	grooming
16	02/09/22 09:45:40.506	02/09/22 09:47:03.165	1681.5580	ALL	exploring
17	02/09/22 09:47:03.165	02/09/22 09:47:16.448	1764.2170	ALL	grooming
18	02/09/22 09:47:16.448	02/09/22 09:47:55.227	1777.5000	ALL	exploring
19	02/09/22 09:47:55.227	02/09/22 09:48:05.044	1816.2790	ALL	grooming
20	02/09/22 09:48:05.044	02/09/22 09:51:40.919	1826.0960	ALL	exploring
21	02/09/22 09:51:40.919	02/09/22 09:51:47.331	2041.9710	ALL	grooming
22	02/09/22 09:51:47.331	02/09/22 09:52:20.626	2048.3830	ALL	exploring
23	02/09/22 09:52:20.626	02/09/22 09:52:29.406	2081.6780	ALL	grooming
24	02/09/22 09:52:29.406	02/09/22 09:53:07.268	2090.4580	ALL	exploring
25	02/09/22 09:53:07.268	02/09/22 09:53:21.147	2128.3200	ALL	grooming
26	02/09/22 09:53:21.147	02/09/22 09:54:19.752	2142.1990	ALL	exploring
27	02/09/22 09:54:19.752	02/09/22 09:54:38.782	2200.8040	ALL	grooming
28	02/09/22 09:54:38.782	02/09/22 09:56:30.491	2219.8340	ALL	exploring
29	02/09/22 09:56:30.491	02/09/22 09:56:40.306	2331.5430	ALL	grooming
30	02/09/22 09:56:40.306	02/09/22 09:57:11.920	2341.3580	ALL	exploring
31	02/09/22 09:57:11.920	02/09/22 09:57:18.783	2372.9720	ALL	grooming
32	02/09/22 09:57:18.783	02/09/22 10:00:02.036	2379.8350	ALL	exploring
33	02/09/22 10:00:02.036	02/09/22 10:00:08.325	2543.0880	ALL	resting
34	02/09/22 10:00:08.325	02/09/22 10:01:57.278	2549.3770	ALL	exploring
35	02/09/22 10:01:57.278	02/09/22 10:02:17.993	2658.3300	ALL	grooming
36	02/09/22 10:02:17.993	02/09/22 10:03:04.118	2679.0450	ALL	exploring
37	02/09/22 10:03:04.118	02/09/22 10:03:04.118	2725.1700	ALL	stop
38	02/09/22 10:17:30.082	02/09/22 10:17:30.082	3591.1340	ALL	Stopped Recording
